Format Version,1.0,
Take Name,Subject_01_trial,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,5,8.251465,-4.562988,-26.805664,1.496399,-0.621399,-4.103271,-0.023182,-0.055824,0.000000,-4.669679
6,0.060000,6,8.092285,-5.490967,-27.046875,1.658020,-0.725006,-3.582397,-0.026806,-0.061302,0.000000,-4.225657
7,0.070000,7,8.465820,-4.404785,-26.809570,1.538818,-0.686707,-3.935181,-0.025614,-0.057398,0.000000,-4.533928
8,0.080000,8,7.977783,-4.537598,-26.804688,1.495850,-0.652924,-3.397339,-0.024359,-0.055806,0.000000,-3.953073
9,0.090000,9,7.821045,-5.310547,-27.303711,1.607666,-0.684692,-3.414307,-0.025077,-0.058881,0.000000,-4.007988
10,0.100000,10,7.667480,-5.314209,-26.918945,1.584229,-0.712250,-3.985718,-0.026459,-0.058852,0.000000,-4.577572
11,0.110000,11,7.919922,-4.260742,-26.937500,1.650940,-0.677856,-3.868164,-0.025164,-0.061288,0.000000,-4.460776
12,0.120000,12,6.998047,-5.081299,-26.404297,1.578308,-0.681519,-4.086670,-0.025811,-0.059775,0.000000,-4.636129
13,0.130000,13,7.646484,-3.958618,-26.426758,1.550781,-0.611908,-3.834351,-0.023155,-0.058682,0.000000,-4.374724
14,0.140000,14,7.038086,-4.338623,-27.185547,1.607056,-0.727356,-4.086670,-0.026755,-0.059114,0.000000,-4.618803
15,0.150000,15,7.500000,-3.743408,-27.327148,1.569397,-0.688782,-4.271484,-0.025205,-0.057430,0.000000,-4.796562
16,0.160000,16,7.767090,-4.110596,-26.424805,1.554443,-0.776459,-3.901733,-0.029384,-0.058825,0.000000,-4.479418
17,0.170000,17,8.922852,-4.303223,-26.943359,1.559448,-0.673737,-4.069824,-0.025006,-0.057879,0.000000,-4.693873
18,0.180000,18,7.136475,-3.319580,-26.818359,1.558655,-0.696686,-4.204346,-0.025978,-0.058119,0.000000,-4.705346
19,0.190000,19,7.590820,-3.711182,-27.200195,1.591675,-0.757660,-4.204346,-0.027855,-0.058517,0.000000,-4.751913
20,0.200000,20,7.128906,-4.244873,-26.931641,1.558289,-0.723999,-4.153809,-0.026883,-0.057861,0.000000,-4.680408
21,0.210000,21,7.584717,-4.451416,-27.187500,1.563538,-0.664429,-4.069824,-0.024439,-0.057509,0.000000,-4.614804
22,0.220000,22,8.134277,-4.071533,-26.941406,1.553955,-0.743073,-4.120361,-0.027581,-0.057679,0.000000,-4.701836
23,0.230000,23,8.318848,-3.759888,-26.819336,1.523071,-0.736603,-3.834351,-0.027465,-0.056790,0.000000,-4.410045
24,0.240000,24,7.583252,-4.482910,-26.930664,1.564087,-0.759857,-4.103271,-0.028215,-0.058078,0.000000,-4.670180
25,0.250000,25,7.799805,-4.169922,-27.194336,1.510376,-0.705383,-4.271484,-0.025939,-0.055540,0.000000,-4.812848
