Format Version,1.0,
Take Name,Subject_01_trial,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.501692,
PosX_PosY_Y,-0.000067,
PosX_PosY_Z,0.500841,
NegX_PosY_X,-0.000059,
NegX_PosY_Y,-0.000028,
NegX_PosY_Z,0.501540,
NegX_NegY_X,-0.000048,
NegX_NegY_Y,0.000003,
NegX_NegY_Z,0.000010,
PosX_NegY_X,0.501703,
PosX_NegY_Y,-0.000036,
PosX_NegY_Z,-0.000689,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
233,2.330000,233,-1.652222,17.000000,-66.746094,-0.427094,2.535034,-5.706055,0.037980,0.006399,0.000000,-6.362291
234,2.339000,234,-2.381592,17.666016,-67.425781,-0.418289,2.561279,-6.249512,0.037987,0.006204,0.000000,-6.935359
235,2.350000,235,-2.209229,16.779297,-67.550781,-0.422333,2.491943,-6.145020,0.036890,0.006252,0.000000,-6.777819
236,2.359000,236,-0.680298,16.797852,-67.406250,-0.344070,2.564697,-6.144775,0.038048,0.005104,0.000000,-6.787378
237,2.370000,237,-2.306519,16.930664,-66.613281,-0.453262,2.661011,-6.055420,0.039947,0.006804,0.000000,-6.747446
238,2.379000,238,-1.274841,16.851562,-66.875000,-0.350098,2.619751,-6.003662,0.039174,0.005235,0.000000,-6.670476
239,2.390000,239,-1.705750,16.508789,-66.609375,-0.393799,2.557129,-6.229980,0.038390,0.005912,0.000000,-6.873836
240,2.399000,240,-0.835480,16.734375,-67.136719,-0.296799,2.511108,-6.039062,0.037403,0.004421,0.000000,-6.668670
241,2.410000,241,-1.854492,16.140625,-67.277344,-0.360565,2.429077,-6.319092,0.036105,0.005359,0.000000,-6.911795
242,2.419000,242,-1.892395,16.476562,-66.609375,-0.394043,2.575562,-6.160156,0.038667,0.005916,0.000000,-6.808444
243,2.430000,243,-1.330505,16.483398,-66.875000,-0.295044,2.592896,-6.020996,0.038772,0.004412,0.000000,-6.665965
244,2.439000,244,-1.023682,16.792969,-67.273438,-0.322342,2.675781,-5.882080,0.039775,0.004792,0.000000,-6.554921
245,2.450000,245,-1.264709,16.299805,-66.871094,-0.433960,2.594482,-6.003662,0.038798,0.006489,0.000000,-6.644274
246,2.459000,246,-0.933014,16.947266,-67.140625,-0.301758,2.581543,-5.899170,0.038450,0.004494,0.000000,-6.554982
247,2.470000,247,-0.245506,16.893555,-67.000000,-0.321518,2.603271,-5.759033,0.038855,0.004799,0.000000,-6.416607
248,2.480000,248,-1.126404,17.282227,-67.144531,-0.405045,2.624878,-5.864258,0.039093,0.006032,0.000000,-6.546666
249,2.490000,249,-1.691589,17.458984,-67.015625,-0.483551,2.705078,-5.759033,0.040365,0.007215,0.000000,-6.475969
250,2.500000,250,-1.870605,16.997070,-66.746094,-0.380447,2.552612,-6.038330,0.038244,0.005700,0.000000,-6.699022
251,2.509000,251,-1.506836,17.583008,-66.746094,-0.438522,2.565063,-6.143311,0.038430,0.006570,0.000000,-6.828928
252,2.520000,252,-1.218262,17.189453,-67.144531,-0.355865,2.621826,-6.073975,0.039048,0.005300,0.000000,-6.751637
253,2.529000,253,-1.717163,17.152344,-67.015625,-0.429611,2.533203,-6.073730,0.037800,0.006411,0.000000,-6.733100
254,2.540000,254,-1.960876,16.843750,-67.281250,-0.328049,2.597656,-6.091797,0.038609,0.004876,0.000000,-6.751677
255,2.549000,255,-1.767944,16.508789,-66.875000,-0.393127,2.603638,-5.933594,0.038933,0.005879,0.000000,-6.586722
256,2.560000,256,-1.521729,16.695312,-66.742188,-0.372406,2.636108,-5.811035,0.039497,0.005580,0.000000,-6.478939
257,2.569000,257,-0.242271,16.709961,-66.867188,-0.437393,2.578735,-6.125977,0.038565,0.006541,0.000000,-6.771981
258,2.580000,258,-0.896759,16.671875,-67.136719,-0.248146,2.582153,-5.741943,0.038461,0.003696,0.000000,-6.386477
259,2.589000,259,-1.021606,16.670898,-67.140625,-0.391785,2.553955,-5.776611,0.038039,0.005835,0.000000,-6.416715
260,2.600000,260,-1.177429,16.637695,-66.738281,-0.417206,2.671265,-5.671143,0.040026,0.006251,0.000000,-6.344443
261,2.609000,261,-1.249939,17.188477,-66.742188,-0.333649,2.572632,-5.706055,0.038546,0.004999,0.000000,-6.374847
262,2.620000,262,-1.362122,16.482422,-66.472656,-0.368195,2.616699,-5.897705,0.039365,0.005539,0.000000,-6.554081
263,2.629000,263,-1.389099,16.267578,-66.738281,-0.362869,2.590820,-5.793457,0.038821,0.005437,0.000000,-6.432527
264,2.640000,264,-1.039551,15.935547,-66.867188,-0.329880,2.601074,-5.811279,0.038899,0.004933,0.000000,-6.436286
265,2.649000,265,-1.526245,16.939453,-66.742188,-0.329865,2.563354,-5.793457,0.038407,0.004942,0.000000,-6.451591
266,2.660000,266,-0.436890,17.105469,-66.738281,-0.375565,2.549072,-5.880859,0.038195,0.005627,0.000000,-6.536662
267,2.669000,267,-0.498505,17.074219,-67.003906,-0.374252,2.620117,-5.881592,0.039104,0.005586,0.000000,-6.552045
268,2.680000,268,-0.997681,17.038086,-66.472656,-0.330261,2.531616,-5.810059,0.038085,0.004968,0.000000,-6.463912
269,2.690000,269,-1.630310,17.520508,-67.015625,-0.389160,2.609497,-5.811523,0.038939,0.005807,0.000000,-6.503215
270,2.700000,270,-1.753601,17.427734,-66.746094,-0.388824,2.605835,-6.090820,0.039041,0.005825,0.000000,-6.781432
271,2.710000,271,-1.680420,16.846680,-66.878906,-0.399704,2.582520,-5.933594,0.038615,0.005977,0.000000,-6.594169
272,2.720000,272,-1.432068,16.910156,-66.742188,-0.376450,2.541748,-5.758301,0.038083,0.005640,0.000000,-6.410369
273,2.730000,273,-1.183899,17.005859,-67.007812,-0.423889,2.476440,-5.793945,0.036957,0.006326,0.000000,-6.429928
274,2.740000,274,-1.438110,17.247070,-66.878906,-0.454529,2.493530,-5.916260,0.037284,0.006796,0.000000,-6.569077
275,2.750000,275,-0.849152,17.468750,-66.875000,-0.360855,2.609863,-5.828857,0.039026,0.005396,0.000000,-6.515174
276,2.759000,276,0.352982,16.594727,-66.996094,-0.360031,2.572754,-5.864014,0.038402,0.005374,0.000000,-6.499380
277,2.770000,277,-0.341110,17.015625,-67.269531,-0.371262,2.648804,-5.619629,0.039376,0.005519,0.000000,-6.291518
278,2.779000,278,0.306335,17.452148,-67.269531,-0.424774,2.621338,-5.847168,0.038968,0.006315,0.000000,-6.525303
279,2.790000,279,-0.541656,17.748047,-67.410156,-0.363174,2.643799,-6.372070,0.039220,0.005388,0.000000,-7.071060
280,2.799000,280,-0.346512,17.291016,-66.871094,-0.402328,2.552246,-5.758789,0.038167,0.006016,0.000000,-6.420814
281,2.810000,281,-0.337006,16.769531,-66.867188,-0.391418,2.527222,-5.933594,0.037795,0.005854,0.000000,-6.569365
282,2.819000,282,-0.275467,16.832031,-67.136719,-0.391464,2.577637,-5.951660,0.038394,0.005831,0.000000,-6.599513
283,2.830000,283,-0.927521,16.641602,-67.007812,-0.415039,2.532593,-5.636719,0.037795,0.006194,0.000000,-6.271441
284,2.839000,284,-1.145447,16.638672,-67.542969,-0.414124,2.549438,-5.375732,0.037745,0.006131,0.000000,-6.010789
285,2.850000,285,-0.337738,16.832031,-67.269531,-0.415100,2.502441,-5.829590,0.037200,0.006171,0.000000,-6.457829
286,2.859000,286,-0.189377,17.231445,-66.871094,-0.352631,2.654541,-6.020996,0.039696,0.005273,0.000000,-6.706021
287,2.870000,287,0.046906,16.285156,-67.398438,-0.282089,2.635254,-6.004883,0.039100,0.004185,0.000000,-6.641430
288,2.879000,288,0.231209,16.440430,-67.261719,-0.404114,2.665649,-5.549561,0.039631,0.006008,0.000000,-6.199722
289,2.890000,289,-0.897217,16.703125,-67.273438,-0.319839,2.582031,-5.619629,0.038381,0.004754,0.000000,-6.264980
290,2.899000,290,-1.464844,17.033203,-67.414062,-0.400558,2.515869,-5.900146,0.037320,0.005942,0.000000,-6.544523
291,2.910000,291,-1.185425,17.097656,-67.144531,-0.449188,2.598267,-6.161621,0.038697,0.006690,0.000000,-6.831173
292,2.919000,292,-1.386841,16.176758,-67.406250,-0.382339,2.541138,-6.092285,0.037699,0.005672,0.000000,-6.709997
293,2.930000,293,-1.673279,16.480469,-67.414062,-0.437775,2.557007,-5.812744,0.037930,0.006494,0.000000,-6.448712
294,2.940000,294,-1.677002,16.663086,-67.011719,-0.419220,2.557861,-6.248779,0.038170,0.006256,0.000000,-6.895307
295,2.950000,295,-0.745911,16.949219,-67.007812,-0.325180,2.587646,-6.336182,0.038617,0.004853,0.000000,-6.994331
296,2.960000,296,-1.138550,16.240234,-67.136719,-0.335754,2.598022,-5.969238,0.038697,0.005001,0.000000,-6.603388
297,2.970000,297,-1.654846,15.437988,-66.734375,-0.346924,2.556519,-6.038330,0.038309,0.005199,0.000000,-6.638345
298,2.980000,298,-1.859131,16.384766,-67.011719,-0.318985,2.649048,-5.881592,0.039531,0.004760,0.000000,-6.538149
299,2.990000,299,-0.747986,15.356934,-66.996094,-0.339752,2.657715,-5.811523,0.039670,0.005071,0.000000,-6.424521
300,3.000000,300,-1.385254,16.084961,-67.273438,-0.357071,2.565674,-6.231689,0.038138,0.005308,0.000000,-6.852490
301,3.009000,301,-1.014160,16.273438,-67.269531,-0.359161,2.626465,-5.899414,0.039044,0.005339,0.000000,-6.540207
302,3.020000,302,-1.513672,16.266602,-67.007812,-0.362488,2.611084,-6.003906,0.038967,0.005410,0.000000,-6.645953
303,3.029000,303,-1.390442,16.360352,-67.140625,-0.387161,2.493042,-6.056641,0.037132,0.005766,0.000000,-6.672145
